beeID,cage,pesticide,resources,total.offspring,total.nesting.days,ITS
1,3,treated,low,4,8,0.294
104,6,treated,high,20,11,0.301
105,4,treated,high,3,1,0.302
108,9,not treated,low,1,0,0.313
111,9,not treated,low,11,18,0.306
113,4,treated,high,4,4,0.332
114,6,treated,high,11,6,0.295
121,7,treated,high,12,9,0.304
123,14,not treated,high,45,24,0.333
124,1,treated,low,2,3,0.321
126,2,treated,low,22,17,0.322
129,1,treated,low,13,6,0.321
131,3,treated,low,25,27,0.349
132,8,treated,high,34,23,0.338
133,5,treated,low,36,28,0.33
137,14,not treated,high,4,16,0.313
138,11,not treated,high,23,12,0.328
139,12,not treated,high,29,14,0.297
14,8,treated,high,18,12,0.31
140,14,not treated,high,35,12,0.318
143,16,not treated,high,41,20,0.309
144,14,not treated,high,18,8,0.293
148,4,treated,high,7,16,0.316
15,1,treated,low,1,12,0.321
150,16,not treated,high,44,30,0.309
151,10,not treated,low,36,34,0.324
152,10,not treated,low,19,20,0.311
153,14,not treated,high,19,11,0.319
156,5,treated,low,24,37,0.305
159,8,treated,high,1,2,0.29
16,11,not treated,high,21,18,0.263
163,8,treated,high,1,0,0.31
166,9,not treated,low,1,0,0.301
172,13,not treated,low,29,25,0.319
175,16,not treated,high,50,29,0.322
176,9,not treated,low,29,21,0.334
178,15,not treated,low,20,17,0.33
179,16,not treated,high,42,25,0.321
18,11,not treated,high,17,15,0.282
183,16,not treated,high,11,13,0.29
185,13,not treated,low,29,29,0.338
187,1,treated,low,17,20,0.325
188,4,treated,high,21,16,0.301
193,9,not treated,low,18,14,0.312
194,4,treated,high,12,14,0.316
199,1,treated,low,10,17,0.31
20,8,treated,high,25,11,0.31
200,13,not treated,low,27,29,0.302
204,13,not treated,low,34,38,0.317
205,14,not treated,high,41,19,0.312
206,15,not treated,low,20,21,0.306
207,12,not treated,high,54,21,0.31
208,11,not treated,high,24,26,0.315
210,15,not treated,low,33,25,0.297
212,12,not treated,high,54,28,0.298
213,9,not treated,low,15,19,0.309
216,10,not treated,low,31,25,0.304
219,16,not treated,high,1,0,0.323
220,11,not treated,high,35,20,0.284
223,7,treated,high,18,18,0.34
227,16,not treated,high,6,8,0.31
229,10,not treated,low,49,25,0.33
23,4,treated,high,18,5,0.346
232,14,not treated,high,20,19,0.291
238,5,treated,low,20,22,0.305
239,10,not treated,low,9,18,0.33
242,5,treated,low,13,34,0.3
245,16,not treated,high,31,28,0.315
248,14,not treated,high,1,1,0.322
249,11,not treated,high,42,22,0.307
25,6,treated,high,29,22,0.294
252,12,not treated,high,16,8,0.301
253,5,treated,low,1,0,0.321
254,12,not treated,high,32,26,0.311
256,13,not treated,low,48,29,0.298
257,12,not treated,high,33,24,0.319
260,15,not treated,low,27,27,0.334
261,11,not treated,high,54,26,0.317
262,11,not treated,high,45,19,0.309
274,2,treated,low,25,17,0.329
282,7,treated,high,14,14,0.313
284,8,treated,high,21,20,0.306
285,14,not treated,high,53,26,0.315
286,15,not treated,low,16,17,0.311
287,16,not treated,high,26,24,0.32
289,9,not treated,low,35,18,0.335
292,10,not treated,low,13,8,0.295
304,15,not treated,low,27,22,0.28
306,11,not treated,high,32,21,0.289
31,6,treated,high,12,5,0.303
32,3,treated,low,10,8,0.292
33,3,treated,low,17,18,0.321
36,5,treated,low,16,33,0.319
39,2,treated,low,20,13,0.327
40,1,treated,low,18,20,0.288
44,8,treated,high,2,5,0.301
47,4,treated,high,27,23,0.324
51,7,treated,high,18,15,0.325
53,6,treated,high,15,6,0.322
57,4,treated,high,6,6,0.301
58,6,treated,high,18,14,0.314
59,2,treated,low,7,6,0.304
60,3,treated,low,25,19,0.309
61,8,treated,high,19,12,0.324
62,7,treated,high,23,15,0.299
63,8,treated,high,50,31,0.319
65,12,not treated,high,47,45,0.31
66,13,not treated,low,14,12,0.297
68,3,treated,low,2,8,0.333
70,6,treated,high,37,22,0.308
71,10,not treated,low,20,21,0.305
76,1,treated,low,22,23,0.334
77,3,treated,low,15,15,0.309
80,7,treated,high,1,0,0.3
84,4,treated,high,18,7,0.312
86,1,treated,low,10,8,0.325
87,6,treated,high,19,9,0.33
89,7,treated,high,45,24,0.316
92,2,treated,low,19,31,0.315
96,8,treated,high,30,14,0.312
99,2,treated,low,12,17,0.306
4,4,treated,high,0,0,0.359
34,16,not treated,high,0,0,0.295
48,5,treated,low,0,0,0.305
52,7,treated,high,0,0,0.311
56,5,treated,low,0,0,0.312
69,5,treated,low,0,0,0.322
73,1,treated,low,0,0,0.326
74,2,treated,low,0,0,0.295
78,4,treated,high,0,0,0.334
85,10,not treated,low,0,0,0.301
102,6,treated,high,0,0,0.337
134,5,treated,low,0,0,0.332
142,3,treated,low,0,0,0.299
161,7,treated,high,0,0,0.303
165,7,treated,high,0,0,0.281
167,8,treated,high,0,0,0.302
168,7,treated,high,0,0,0.307
203,11,not treated,high,0,0,0.299
214,4,treated,high,0,0,0.313
215,4,treated,high,0,0,0.319
222,6,treated,high,0,0,0.306
237,12,not treated,high,0,0,0.289
241,7,treated,high,0,0,0.284
247,12,not treated,high,0,0,0.302
251,9,not treated,low,0,0,0.321
263,14,not treated,high,0,0,0.309
271,13,not treated,low,0,0,0.328
288,15,not treated,low,0,0,0.322
307,8,treated,high,0,0,0.303
